team,result,points,comb_id,position
GIR,W,70,59,4
TEN,L,69,59,5
LPA,T,68,59,6
OVI,T,66,59,7
GIR,W,70,60,4
TEN,L,69,60,5
LPA,T,68,60,6
OVI,L,65,60,7
GIR,W,70,61,4
TEN,L,69,61,5
OVI,W,68,61,6
LPA,L,67,61,7
GIR,W,70,62,4
TEN,L,69,62,5
LPA,L,67,62,6
OVI,T,66,62,7
GIR,W,70,63,4
TEN,L,69,63,5
LPA,L,67,63,6
OVI,L,65,63,7
LPA,W,70,64,4
TEN,L,69,64,5
GIR,T,68,64,6
OVI,W,68,64,7
LPA,W,70,65,4
TEN,L,69,65,5
GIR,T,68,65,6
OVI,T,66,65,7
LPA,W,70,66,4
TEN,L,69,66,5
GIR,T,68,66,6
OVI,L,65,66,7
TEN,L,69,67,4
GIR,T,68,67,5
LPA,T,68,67,6
OVI,W,68,67,7
TEN,L,69,68,4
GIR,T,68,68,5
LPA,T,68,68,6
OVI,T,66,68,7
TEN,L,69,69,4
GIR,T,68,69,5
LPA,T,68,69,6
OVI,L,65,69,7
TEN,L,69,70,4
GIR,T,68,70,5
OVI,W,68,70,6
LPA,L,67,70,7
TEN,L,69,71,4
GIR,T,68,71,5
LPA,L,67,71,6
OVI,T,66,71,7
TEN,L,69,72,4
GIR,T,68,72,5
LPA,L,67,72,6
OVI,L,65,72,7
LPA,W,70,73,4
TEN,L,69,73,5
OVI,W,68,73,6
GIR,L,67,73,7
LPA,W,70,74,4
TEN,L,69,74,5
GIR,L,67,74,6
OVI,T,66,74,7
LPA,W,70,75,4
TEN,L,69,75,5
GIR,L,67,75,6
OVI,L,65,75,7
TEN,L,69,76,4
LPA,T,68,76,5
OVI,W,68,76,6
GIR,L,67,76,7
TEN,L,69,77,4
LPA,T,68,77,5
GIR,L,67,77,6
OVI,T,66,77,7
TEN,L,69,78,4
LPA,T,68,78,5
GIR,L,67,78,6
OVI,L,65,78,7
TEN,L,69,79,4
OVI,W,68,79,5
GIR,L,67,79,6
LPA,L,67,79,7
TEN,L,69,80,4
GIR,L,67,80,5
LPA,L,67,80,6
OVI,T,66,80,7
TEN,L,69,81,4
GIR,L,67,81,5
LPA,L,67,81,6
OVI,L,65,81,7
